Sutta ID,Nikaya Folder,JSON,MP4,SRT,Status,JSON SHA256,MP4 SHA256,SRT SHA256
5_4_40,Anguttara Nikaya by Bhante Hye Dhammavuddho Mahathera,"=HYPERLINK(""file:///C:/Users/ADMIN/Desktop/buddha3/Anguttara%20Nikaya%20by%20Bhante%20Hye%20Dhammavuddho%20Mahathera/5_4_40/5_4_40.json"",""5_4_40.json"")","=HYPERLINK(""file:///C:/Users/ADMIN/Desktop/buddha3/Anguttara%20Nikaya%20by%20Bhante%20Hye%20Dhammavuddho%20Mahathera/5_4_40/5_4_40.mp4"",""5_4_40.mp4"")","=HYPERLINK(""file:///C:/Users/ADMIN/Desktop/buddha3/Anguttara%20Nikaya%20by%20Bhante%20Hye%20Dhammavuddho%20Mahathera/5_4_40/5_4_40.en.srt"",""5_4_40.en.srt"")",COMPLETE,076244d314d50ae61c291333a32b656cb4a0442767a95c1154243525c6aa2297,ab5630e16d185419cb114a785c71c1b7da44548880bfdea1ddf9d75918deb37f,c194bf47dea22e643f1cc17c839d3faa4840a1269be0d68e6303f7ee9dd7d47c
1,Majjhima Nikaya by Bhante Hye Dhammavuddho Mahathera,"=HYPERLINK(""file:///C:/Users/ADMIN/Desktop/buddha3/Majjhima%20Nikaya%20by%20Bhante%20Hye%20Dhammavuddho%20Mahathera/1/1.json"",""1.json"")","=HYPERLINK(""file:///C:/Users/ADMIN/Desktop/buddha3/Majjhima%20Nikaya%20by%20Bhante%20Hye%20Dhammavuddho%20Mahathera/1/1.mp4"",""1.mp4"")","=HYPERLINK(""file:///C:/Users/ADMIN/Desktop/buddha3/Majjhima%20Nikaya%20by%20Bhante%20Hye%20Dhammavuddho%20Mahathera/1/1.en.srt"",""1.en.srt"")",COMPLETE,263a3222bb6cd105f6fccd7bc600955040901e9ae673e91fa926f9025d9f3ef6,32a49c3494b4b3963786091c921835814bd5b14f93007f56373ef74252b5733f,e936a73f07191731c14a51d91f05edc113af1ce5ded73999db191ff00feb6432
